ZZ,AA,AB,BA,BB,CA,CB,DA,DB,EA,EB,FA,FB,GA,GB,HA,HB
10101,142,29282,58,14052,30,5128,50,7186,4,2916,0,0,0,0,0,0
10102,104,31422,48,19318,20,6109,36,5995,0,0,0,0,0,0,0,0
10103,145,35755,67,18201,36,9885,38,5406,4,2263,0,0,0,0,0,0
10104,199,86950,97,45803,41,18042,57,19538,4,3567,0,0,0,0,0,0
10105,227,100581,118,62095,53,23259,52,11509,4,3718,0,0,0,0,0,0
10106,185,66958,100,46336,34,9555,51,11067,0,0,0,0,0,0,0,0
10107,223,99844,115,65595,46,16003,60,17976,0,0,0,0,0,0,2,270
10108,154,70794,82,50338,32,8906,40,11550,0,0,0,0,0,0,0,0
10109,165,64181,86,47422,36,7666,43,9093,0,0,0,0,0,0,0,0
10110,185,69455,93,39463,48,15240,41,13856,2,746,0,0,0,0,1,150
10111,140,26085,59,11995,48,10898,33,3192,0,0,0,0,0,0,0,0
10112,111,17826,43,7227,34,7593,34,3006,0,0,0,0,0,0,0,0
10201,118,25658,45,10355,40,10667,33,4636,0,0,0,0,0,0,0,0
10202,119,31425,50,13015,32,11567,37,6843,0,0,0,0,0,0,0,0
10203,147,40294,66,19171,42,10101,39,11022,0,0,0,0,0,0,0,0
10204,223,100344,104,59758,66,24888,51,12450,2,3248,0,0,0,0,0,0
10205,228,112452,114,79432,62,20348,52,12672,0,0,0,0,0,0,0,0
10206,206,99184,104,70029,57,15429,45,13726,0,0,0,0,0,0,0,0
10207,212,115025,102,70537,55,20970,53,18172,2,5346,0,0,0,0,0,0
10208,253,109874,94,57817,44,10996,50,13935,32,13629,31,13225,0,0,2,272
10209,264,140706,87,68554,52,15415,45,9240,42,32115,36,14050,0,0,2,1332
10210,250,148832,76,64142,46,21710,56,27288,36,24460,28,9343,8,1889,0,0
10211,194,51876,56,6400,26,6614,38,9838,30,12927,30,12927,14,3170,0,0
10212,120,15502,47,5398,32,3846,27,1297,4,2438,4,2033,6,490,0,0
10301,212,26254,42,4047,38,4685,46,3564,36,5682,36,5682,14,2594,0,0
10302,175,40787,48,10602,24,4956,31,4954,32,9045,30,8119,10,3111,0,0
10303,244,82366,72,24068,38,10813,42,11126,40,17563,38,14601,14,4195,0,0
10304,343,204799,118,87283,56,29423,80,44396,34,19485,32,15528,23,8684,0,0
10305,360,222904,131,111461,53,23083,60,20548,52,40778,36,19949,28,7085,0,0
10306,335,171446,107,65857,61,33089,46,17781,46,28112,36,17787,39,8820,0,0
10307,300,155609,99,71501,52,20633,55,21801,30,17064,30,18102,32,6238,2,270
10308,307,143340,102,54216,40,19052,59,25365,36,18530,36,19594,32,6311,2,272
10309,231,133572,94,65392,22,9624,49,26694,24,12198,24,12198,18,7466,0,0
10310,199,125626,86,61256,18,6136,38,29732,20,10705,20,10705,17,7092,0,0
10311,176,49053,63,14242,14,1670,31,7687,24,9474,24,9474,20,6506,0,0
10312,111,22838,43,8077,12,938,12,768,12,3929,10,2970,22,6156,0,0
10401,95,14967,47,7632,12,1264,20,1269,8,2401,8,2401,0,0,0,0
10402,160,43583,53,10136,14,4509,37,12359,16,5900,14,4607,26,6072,0,0
10403,188,71387,59,22592,10,2140,45,19733,26,10782,24,6480,24,9660,0,0
10404,289,188222,113,98402,42,20062,62,37831,22,13158,18,8175,32,10594,0,0
10405,366,245820,146,143523,66,37850,52,20336,36,24804,24,12191,42,7116,0,0
10406,299,165035,106,82709,40,9475,56,25736,30,24884,24,13994,43,8237,0,0
10407,243,129947,85,66002,40,10569,46,24110,18,11044,18,11044,36,7178,0,0
10408,222,115240,82,51624,32,11509,43,25499,16,8095,16,8095,33,10418,0,0
10409,256,126117,91,60998,43,17947,43,18103,24,10454,22,10342,33,8273,0,0
10410,218,105121,80,53745,39,8408,41,17216,16,8926,16,8926,26,7900,0,0
10411,208,84209,104,50894,36,9319,21,3573,12,7713,8,4445,27,8265,0,0
10412,183,61568,79,45699,22,1389,26,1678,16,4146,18,5095,22,3561,0,0
10501,151,30055,67,18520,32,2944,24,1728,6,1625,6,1625,16,3613,0,0
10502,185,68594,75,35569,32,7503,40,6771,12,6269,10,5077,16,7405,0,0
10503,189,77751,95,56282,28,7642,28,5714,6,2394,0,0,32,5719,0,0
10504,232,99819,106,69750,34,4155,45,9503,10,5057,10,5057,26,6242,1,55
10505,330,215233,144,139931,38,12445,49,19463,28,22614,24,11866,34,8131,13,783
10506,301,143527,115,83838,30,4048,48,16785,28,16221,24,10837,36,10988,20,810
10507,247,137071,101,73063,14,1130,50,21371,24,19933,22,13131,22,7874,14,569
10508,259,132046,110,80847,14,1714,43,13991,24,12888,24,12888,28,9182,16,536
10509,204,107644,94,76546,12,1732,40,7066,20,8529,20,8529,11,4941,7,301
10510,194,107524,88,67672,12,980,28,12665,26,12217,24,10403,16,3587,0,0
10511,156,58038,81,42277,14,1028,23,3169,16,4906,16,4906,6,1752,0,0
10512,169,52284,84,37839,14,1844,19,1295,22,4665,22,4665,8,1976,0,0
10601,201,57702,94,35946,16,2545,33,3923,12,4067,14,4067,32,7154,0,0
10602,135,54059,66,35727,20,4107,32,8770,0,0,1,0,16,5455,0,0
10603,215,99027,97,62282,32,3331,47,24310,8,4234,1,0,30,4870,0,0
10604,328,147029,125,84268,36,4360,63,29950,30,11362,36,11128,38,5961,0,0
10605,347,162529,128,95434,44,4889,57,29168,34,15769,38,9823,46,7446,0,0
10606,330,212027,148,151748,36,5224,44,21331,26,11552,34,11552,42,10620,0,0
10607,291,160949,125,112414,38,5443,37,10679,22,12059,29,12059,40,8295,0,0
10608,232,154558,122,112602,38,7059,48,25901,0,0,0,0,24,8996,0,0
10609,195,92309,108,71927,34,4794,31,7880,0,0,0,0,22,7708,0,0
10610,169,101092,85,68647,28,5256,39,22404,0,0,2,0,15,4785,0,0
10611,212,130998,88,81095,30,13536,28,11962,16,16771,19,3383,31,4251,0,0
10612,162,54811,81,42446,16,2022,9,338,14,3636,22,4521,20,1848,0,0
10701,191,79412,100,60606,32,4873,28,6103,4,5050,5,528,22,2252,0,0
10702,189,65014,83,40628,22,5404,35,4360,10,3245,12,3245,27,8132,0,0
10703,247,109565,119,80355,32,4144,35,12035,10,5719,6,1185,43,5937,2,190
10704,314,191801,143,132534,40,8873,62,31172,12,5090,20,5090,37,9042,0,0
10705,294,189381,148,158275,36,6813,40,7164,8,3770,17,3770,45,9589,0,0
10706,264,159997,120,120088,40,9014,38,9290,11,5002,17,4581,38,12022,0,0
10707,273,161079,116,108147,38,10350,61,21370,9,4733,16,4733,33,11746,0,0
10708,266,135481,119,99179,40,9954,43,7975,6,3134,15,3134,43,12105,0,0
10709,209,90174,111,73202,30,6085,35,3465,4,1007,5,1007,24,5408,0,0
10710,190,82758,87,62672,32,6080,29,2873,4,1904,8,1904,30,7325,0,0
10711,239,89635,126,71032,28,3778,32,6589,4,1431,9,1431,40,5374,0,0
10712,164,70280,92,57429,18,2983,25,4734,4,1246,3,386,22,3502,0,0
10801,182,45929,100,32773,30,4843,27,2390,0,0,1,0,22,5282,2,641
10802,213,89419,98,61874,30,7183,41,9686,4,699,7,699,33,9278,0,0
10803,247,126130,124,92573,32,8680,48,12301,4,4434,6,626,33,7516,0,0
10804,319,188934,154,132992,42,12282,46,20541,8,5979,12,2141,57,14999,0,0